Client,Industry,Color,Address,longitude,latitude,state,revenue
Air Tolentino,HVAC / Healthcare-adjacent,Green,"6625 Argyle Forest Boulevard, Suite 4, Jacksonville, FL 32244",-81.7520287,30.1933582,Florida,130000
Beary Boba,Food & Beverage,Orange,"105 Badger Park Drive, Suite 11, St. Johns, FL 32259",-81.4884689,30.0735589,Florida,400000
Davoli's Catering,Food & Catering,Orange,"3305 Parental Home Rd, Jacksonville, FL 32216",-81.5918443,30.2664902,Florida,230000
Deal Room,Real Estate / SaaS,Yellow,"1718 Atlantic Blvd, Jacksonville, FL 32207",-81.6492628,30.3066579,Florida,1000000
Digital Aesthetic Dentistry,Healthcare,Green,"10915 Baymeadows Rd, #106, Jacksonville, FL 32256",-81.519001,30.2173478,Florida,600000
DLY Pets,Pet Wellness,Red,"405 Madison Avenue, Floor 13, Toledo, OH 43604",-83.5353164,41.6513347,Ohio,934000
Get U Well,Healthcare,Green,"10475 Medlock Bridge Rd, Bldg 800, Ste 820, Johns Creek, GA 30097",-84.1850468,34.034251,Georgia,1088000
Joseph Ellen Properties,Interior Design / Real Estate,Yellow,"1718 Atlantic Blvd, Jacksonville, FL 32207",-81.6492628,30.3066579,Florida,142000
LivHealthy Dental,Healthcare,Green,"2105 SW 33rd St Bldg 2, Ocala, FL 34471",-82.1674488,29.1542475,Florida,196000
M7/UtiliTough,Industrial / Utility Equipment,Blue,"1446 Morganton Blvd SW, Lenoir, NC 28645",-81.5478322,35.9012501,North Carolina,150000
MFG Merch,Apparel / Merchandising,Purple,"240 Talleyrand Avenue, Jacksonville, FL 32202",-81.6333261,30.323543,Florida,174000
MOTION RX,Physical Therapy / Rehab,Green,"7901 Baymeadows Way W, Jacksonville, FL 32256",-81.5884141,30.2330012,Florida,1058000
Northview Wellness,Healthcare,Green,"3020 Holcomb Bridge Rd, Norcross, GA 30071",-84.2261094,33.9468926,Georgia,212000
Sozou,Restaurant,Orange,"1020 Spring St NW STE 1R1, Atlanta, GA 30309",-84.3895306,33.782716,Georgia,166000
The Colab Cafe,Creative Studio / Cafe,Gray,"2695 Post Street, Jacksonville, FL 32204",-81.6952268,30.3134843,Florida,1320000
Universal Neurological Care,Neurology / Healthcare,Green,"8823 San Jose Blvd Ste 209, Jacksonville, FL 32217",-81.6165478,30.2191499,Florida,474000
Orange Park Smiles,Dental Office,Green,"1406 Kingsley Avenue, Suite C, Orange Park, FL 32073",-81.7239124,30.1646949,Florida,628000
Cloud 9 - Woodstock,Smoke Shop,Purple,"9999 Highway 92, Woodstock, GA 30188",-84.5214165,34.0865812,Georgia,1800
Cloud 9 - Grayson,Smoke Shop,Purple,"1365 Grayson Hwy Ste 103, Lawrenceville, GA 30045",-83.9573,33.8926,Georgia,1800
Cloud 9 - Johns Creek,Smoke Shop,Purple,"10360 Medlock Bridge Rd, Duluth, GA 30097",-84.1862844,34.0345312,Georgia,1800
Cloud 9 - Canton Rd Marietta,Smoke Shop,Purple,"2915 Canton Rd, Marietta, GA 30066",-84.5479789,33.9753111,Georgia,1800
Cloud 9 - Acworth Cherokee St,Smoke Shop,Purple,"5020 Cherokee St Ste 200, Acworth, GA 30101",-84.6767,34.0666,Georgia,1800
